dt,temp,feels_like,pressure,humidity,wind_speed,wind_deg,clouds,weather_main,weather_description
2024-10-06 17:00,300.14,302.68,1013,78,0.51,0,75,Rain,light rain
2024-10-06 18:00,298.14,299.31,1012,100,5.66,20,75,Thunderstorm,thunderstorm with rain
2024-10-06 19:00,298.14,299.15,1012,94,1.03,0,75,Rain,moderate rain
2024-10-06 20:00,298.14,299.15,1011,94,1.03,350,75,Clouds,broken clouds
2024-10-06 21:00,298.14,299.15,1012,94,0.51,0,75,Clouds,broken clouds
2024-10-06 22:00,299.14,299.14,1012,89,0.51,310,75,Clouds,broken clouds
2024-10-06 23:00,298.14,299.15,1013,94,0.51,290,75,Clouds,broken clouds
2024-10-07 00:00,299.15,299.15,1014,83,2.0,286,52,Rain,moderate rain
2024-10-07 01:00,300.08,302.65,1014,79,2.07,302,91,Rain,light rain
2024-10-07 02:00,300.85,304.11,1014,77,1.95,333,84,Rain,light rain
2024-10-07 03:00,300.97,304.8,1014,80,2.72,357,73,Rain,moderate rain
2024-10-07 04:00,300.98,304.97,1013,81,3.83,352,76,Clouds,broken clouds
2024-10-07 05:00,301.27,305.55,1013,80,4.95,354,71,Clouds,broken clouds
2024-10-07 06:00,301.07,305.2,1012,81,5.44,350,38,Rain,light rain
2024-10-07 07:00,300.81,304.82,1011,83,5.65,355,79,Clouds,broken clouds
2024-10-07 08:00,300.37,303.94,1011,85,5.18,2,87,Rain,light rain
2024-10-07 09:00,299.96,302.99,1012,86,4.47,4,91,Rain,light rain
2024-10-07 10:00,299.26,299.26,1012,87,3.64,1,94,Clouds,overcast clouds
2024-10-07 11:00,299.21,299.21,1012,87,3.3,350,95,Clouds,overcast clouds
2024-10-07 12:00,299.57,299.57,1013,85,3.54,358,91,Rain,light rain
2024-10-07 13:00,299.49,299.49,1014,85,3.17,351,100,Rain,light rain
2024-10-07 14:00,301.14,305.69,1015,83,1.54,60,75,Rain,light rain
2024-10-07 15:00,301.14,305.69,1015,83,2.06,70,75,Clouds,broken clouds
2024-10-07 16:00,301.14,305.69,1014,83,2.06,80,40,Clouds,scattered clouds
2024-10-07 17:00,299.14,299.14,1014,94,2.06,240,40,Clouds,scattered clouds
2024-10-07 18:00,299.14,299.14,1013,94,0.51,0,40,Clouds,scattered clouds
2024-10-07 19:00,299.14,299.14,1012,94,0.0,0,40,Rain,light rain
2024-10-07 20:00,298.14,299.15,1012,94,1.03,0,75,Clouds,broken clouds
2024-10-07 21:00,298.14,299.15,1012,94,1.03,0,40,Clouds,scattered clouds
2024-10-07 22:00,298.14,299.15,1013,94,1.03,250,40,Rain,light rain
2024-10-07 23:00,298.14,299.15,1013,94,1.54,200,40,Clouds,scattered clouds
2024-10-08 00:00,298.14,299.15,1014,94,1.03,230,40,Rain,light rain
2024-10-08 01:00,299.14,299.14,1014,94,0.51,0,40,Rain,light intensity shower rain
2024-10-08 02:00,300.3,303.54,1014,83,3.49,26,85,Rain,light rain
2024-10-08 03:00,300.52,303.96,1014,82,3.73,27,73,Clouds,broken clouds
2024-10-08 04:00,303.14,309.16,1014,74,5.14,50,40,Clouds,scattered clouds
2024-10-08 05:00,303.14,310.14,1013,79,7.72,20,40,Clouds,scattered clouds
2024-10-08 06:00,303.14,309.16,1012,74,6.17,20,40,Clouds,scattered clouds
2024-10-08 07:00,303.14,309.16,1011,74,6.69,20,40,Clouds,scattered clouds
2024-10-08 08:00,304.14,309.56,1011,66,6.17,30,40,Clouds,scattered clouds
2024-10-08 09:00,303.14,309.16,1011,74,6.17,20,40,Rain,light rain
2024-10-08 10:00,298.14,299.15,1011,94,5.66,50,75,Clouds,broken clouds
2024-10-08 11:00,298.14,299.31,1012,100,1.03,0,75,Clouds,broken clouds
2024-10-08 12:00,301.14,305.69,1013,83,2.57,30,75,Clouds,broken clouds
2024-10-08 13:00,301.14,305.69,1014,83,1.54,30,40,Clouds,scattered clouds
2024-10-08 14:00,300.14,303.75,1014,89,1.03,330,40,Clouds,scattered clouds
2024-10-08 15:00,301.14,305.69,1014,83,1.03,60,40,Clouds,scattered clouds
2024-10-08 16:00,300.14,303.75,1014,89,0.51,0,75,Clouds,broken clouds
2024-10-08 17:00,298.14,299.15,1013,94,3.09,220,75,Clouds,broken clouds
2024-10-08 18:00,298.14,299.15,1013,94,3.09,240,40,Rain,light rain
2024-10-08 19:00,298.14,299.15,1012,94,1.03,0,75,Rain,shower rain
2024-10-08 20:00,297.14,298.05,1012,94,3.09,240,75,Rain,light intensity shower rain
